user_loc,fr_loc,distance
AL01,AL01,0
AL01,AL02,77.24654512090052
AL01,AL03,162.9547372418789
AL01,AT11,688.130931914016
AL01,AT12,771.2855077966366
AL01,AT13,755.1153811274694
AL01,AT21,713.9928713428958
AL01,AT22,695.8800666623101
AL01,AT31,841.7442289285776
AL01,AT32,831.7630481796058
AL01,AT33,893.3725497080053
AL01,AT34,1006.2870485775911
AL01,BE10,1552.223372466848
AL01,BE21,1563.0307135250382
AL01,BE22,1500.354248237883
AL01,BE23,1594.3907540469136
AL01,BE24,1543.3330743512408
AL01,BE25,1634.3673188209373
AL01,BE31,1527.5122465986556
AL01,BE32,1551.755464916947
AL01,BE33,1459.7663827566157
AL01,BE34,1422.7498470066198
AL01,BE35,1491.6601840965263
AL01,BG31,380.6766999825384
AL01,BG32,533.3838312220747
AL01,BG33,637.9693033379747
AL01,BG34,553.2762820625384
AL01,BG41,297.20959966453194
AL01,BG42,421.0674083605133
AL01,CH01,1167.7513579258575
AL01,CH02,1140.8132409799518
AL01,CH03,1130.9967641695373
AL01,CH04,1082.7227638772777
AL01,CH05,1036.7473017514635
AL01,CH06,1081.9083911320638
AL01,CH07,1012.7047833320133
AL01,CY00,1384.3330232195672
AL01,CZ01,1002.8510970982811
AL01,CZ02,994.0237216632538
AL01,CZ03,955.1368094550926
AL01,CZ04,1072.546673539867
AL01,CZ05,992.021612544078
AL01,CZ06,857.1049475239496
AL01,CZ07,871.8080125784311
AL01,CZ08,894.928474972986
AL01,DE11,1131.3809181905322
AL01,DE12,1192.910581031905
AL01,DE13,1146.562706195995
AL01,DE14,1078.8765668527822
AL01,DE21,953.0853012330532
AL01,DE22,942.2169677959165
AL01,DE23,1026.1160809768985
AL01,DE24,1123.981830491824
AL01,DE25,1089.7992147533253
AL01,DE26,1188.7386196893262
AL01,DE27,1017.9011863247513
AL01,DE30,1278.7551707615257
AL01,DE40,1267.8166108325927
AL01,DE50,1509.0959959985432
AL01,DE60,1491.7210002034326
AL01,DE71,1256.178165615395
AL01,DE72,1302.290395873401
AL01,DE73,1296.1293182210127
AL01,DE80,1442.7434367396584
AL01,DE91,1343.0348207611949
AL01,DE92,1403.2158413653565
AL01,DE93,1474.861439238175
AL01,DE94,1524.213355211387
AL01,DEA1,1452.6420579619673
AL01,DEA2,1413.532165794705
AL01,DEA3,1462.164807004322
AL01,DEA4,1408.3896252131835
AL01,DEA5,1409.804104883269
AL01,DEB1,1337.0683737001245
AL01,DEB2,1354.2407457617503
AL01,DEB3,1250.6907048128728
AL01,DEC0,1304.3459298440937
AL01,DED2,1126.073077585787
AL01,DED4,1126.5047509473418
AL01,DED5,1191.9420704488107
AL01,DEE0,1269.8281047944329
AL01,DEF0,1543.2001946322448
AL01,DEG0,1210.62339278501
AL01,DK01,1630.2730158505426
AL01,DK02,1612.5311021684045
AL01,DK03,1675.1553133540092
AL01,DK04,1760.790761360242
AL01,DK05,1839.4103717433827
AL01,EE00,1937.6188736792387
